Sample,RHJC:Y,RHJC:Z,RKJC:Y,RKJC:Z,RAJC:Y,RAJC:Z,RTOE:Y,RTOE:Z,RHJC:Yf,RHJC:Zf,RKJC:Yf,RKJC:Zf,RAJC:Yf,RAJC:Zf,RTOE:Yf,RTOE:Zf,COPy,Fy,Fz
94,1252.532837,873.811096,1422.146606,471.421692,1396.130493,95.723755,1537.95459,67.46801,1252.58876151,873.756108103,1421.56471899,470.995015129,1400.79211884,97.7283218841,1538.45712171,69.1183566943,-2.41278979223,0.945619733368,2.01587892729
95,1267.329468,871.052856,1436.668579,468.084991,1433.262695,92.789459,1579.374878,71.946587,1267.24598301,870.972330146,1436.19597152,468.190951929,1438.67269905,95.5553891482,1580.08664495,74.7054806318,-1.54009194021,1.0220652788,2.131797857
96,1282.176636,868.089844,1450.613525,464.459686,1470.929443,91.251839,1619.041748,77.43531,1281.97063404,867.993134365,1450.48723556,465.079815288,1475.36367238,94.2099506912,1619.88278688,80.8509621665,-0.654535864068,1.01524855492,2.06257177813
97,1297.047852,864.936523,1464.212158,460.811584,1508.202148,91.054344,1656.694946,83.818596,1296.77296408,864.860669881,1464.62730289,461.787973861,1510.63206096,93.5466721943,1657.56339092,87.2486826227,0.1300013966,0.94394075687,1.85497112262
98,1311.949829,861.626404,1477.922729,457.392303,1543.893311,91.856476,1692.11438,90.76123,1311.66628448,861.619025496,1478.80286354,458.441252313,1544.22910155,93.3797615257,1692.87103765,93.5380890685,0.735976490931,0.830981582911,1.56335001983
99,1326.888672,858.264648,1492.146729,454.363464,1577.100342,93.133408,1725.104614,97.743858,1326.667051,858.314348367,1493.18804422,455.159975076,1575.90152141,93.4977596086,1725.58499848,99.3272479531,1.12436359593,0.699593397757,1.24120863829
100,1341.937866,854.919861,1507.029053,451.731781,1607.481323,94.406914,1755.494629,104.130913,1341.794343,854.994732573,1507.93498871,452.054619906,1605.4069631,93.6818678754,1755.53260704,104.222046135,1.29154706707,0.570442846974,0.93466023924
101,1357.18457,851.610413,1522.58728,449.395935,1635.101318,95.412483,1783.134521,109.271835,1357.06871483,851.70983964,1523.1661323,449.222300195,1632.53149184,93.7258713848,1782.59909695,107.858862887,1.26241610583,0.459653318741,0.678221940986
102,1372.586182,848.421814,1538.76709,447.292389,1659.949951,95.933945,1807.880005,112.613449,1372.5104923,848.510232442,1538.96859335,446.74412238,1657.10670887,93.4553319945,1806.73489364,109.937287947,1.08131900849,0.377805124032,0.492955497947
103,1388.106079,845.430603,1555.510132,445.466797,1681.843384,95.69072,1829.614014,113.777267,1388.13767543,845.446420735,1555.3908407,444.683319369,1679.02403252,92.7436802259,1827.95942203,110.249137026,0.802457296758,0.329827093016,0.386675829463
104,1403.786133,842.673523,1572.837891,443.981934,1700.651489,94.457939,1848.274292,112.589859,1403.96367794,842.567632682,1572.44154202,443.083979557,1698.24415767,91.5231515452,1846.36071891,108.700198196,0.481041044235,0.315592310186,0.355746598235
105,1419.676636,840.164063,1590.798828,442.819702,1716.445679,92.160942,1863.85437,109.075478,1419.99517169,839.920345603,1590.09030152,441.970191579,1714.80046269,89.7891547807,1862.0905139,105.321834143,0.166156197189,0.330986293238,0.387895545608
106,1435.839844,837.865723,1609.383179,441.927338,1729.364502,88.849045,1876.43042,103.415611,1436.23030472,837.546634597,1608.26988779,441.345502132,1728.79605616,87.5975335806,1875.35492895,100.270690744,-0.104117790731,0.369213840586,0.465487636777
107,1452.305786,835.766357,1628.395386,441.306091,1739.425293,84.727394,1886.262695,95.870758,1452.65752369,835.482431525,1626.87954791,441.192712195,1740.39508427,85.0551508368,1886.40147742,93.8161771231,-0.30519576593,0.422138525227,0.56876427671
108,1469.023315,833.918213,1647.309082,441.019623,1746.889893,80.350014,1893.953369,86.723167,1469.2551579,833.7558272,1645.78909561,441.4741758,1749.80969779,82.3051348241,1895.503533,86.3168930399,-0.426266036743,0.481492638409,0.678670504393
109,1485.948975,832.335632,1665.503296,441.136749,1752.862061,76.591011,1900.453369,76.432533,1485.99182516,832.385589394,1664.84362213,442.132869859,1757.28457687,79.5088245135,1902.94379132,78.1885715454,-0.46878498403,0.539845687098,0.779028612004
